Connecting to host 44.234.34.171, port 5201
[  5] local 172.31.50.101 port 52550 connected to 44.234.34.171 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  46.00-47.00  sec  23.5 MBytes   197 Mbits/sec    0    170 KBytes       
[  5]  47.00-48.00  sec  23.4 MBytes   196 Mbits/sec    0    187 KBytes       
[  5]  48.00-49.00  sec  24.6 MBytes   206 Mbits/sec    0    178 KBytes       
[  5]  49.00-50.00  sec  23.5 MBytes   197 Mbits/sec    0    178 KBytes       
[  5]  50.00-51.00  sec  33.6 MBytes   282 Mbits/sec    0    163 KBytes       
[  5]  51.00-52.00  sec  34.6 MBytes   290 Mbits/sec    0    187 KBytes       
[  5]  52.00-53.00  sec  33.6 MBytes   282 Mbits/sec    0    178 KBytes       
[  5]  53.00-54.00  sec  33.5 MBytes   281 Mbits/sec    0    180 KBytes       
[  5]  54.00-55.00  sec  34.6 MBytes   290 Mbits/sec    0    175 KBytes       
[  5]  55.00-56.00  sec  33.6 MBytes   282 Mbits/sec    0    165 KBytes       
[  5]  56.00-57.00  sec  34.6 MBytes   290 Mbits/sec    0    187 KBytes       
[  5]  57.00-58.00  sec  33.6 MBytes   282 Mbits/sec    0    167 KBytes       
[  5]  58.00-59.00  sec  34.6 MBytes   290 Mbits/sec    0    209 KBytes       
[  5]  59.00-60.00  sec  33.6 MBytes   282 Mbits/sec    0    175 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  1.66 GBytes   238 Mbits/sec    0             sender
[  5]   0.00-60.00  sec  1.66 GBytes   238 Mbits/sec                  receiver

iperf Done.
Connecting to host 44.234.34.171, port 5203
[  5] local 172.31.50.101 port 47446 connected to 44.234.34.171 port 5203
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  23.9 MBytes   200 Mbits/sec    0    170 KBytes       
[  5]   1.00-2.00   sec  14.4 MBytes   121 Mbits/sec    0    170 KBytes       
[  5]   2.00-3.00   sec  13.0 MBytes   109 Mbits/sec    0    170 KBytes       
[  5]   3.00-4.00   sec  14.4 MBytes   121 Mbits/sec    0    170 KBytes       
[  5]   4.00-5.00   sec  13.0 MBytes   109 Mbits/sec    0    170 KBytes       
